"chain","brand","name","oldPrice","newPrice","pct"
"studenac","AWT-RADENSKA","VODA GAZ. RADENSKA","1.42","1.05","-26.1"
"konzum","STUDENAC","MIN VODA STUDENAC 1.5L GAZ PET","0.89","0.69","-22.5"
"konzum","STUDENA","VODA IZVORSKA STUDENA 1.5L","0.89","0.69","-22.5"
"lorenco","","MIN.VODA 1,5L JAMNICA","0.84","0.66","-21.4"
"jadranka_trgovina","","VODA NEG. 0,5L DONATURAL KLEKA","1.69","1.35","-20.1"
"jadranka_trgovina","","VODA NEG. 0,5L DONATURAL ALOE VERA","1.69","1.35","-20.1"
"studenac","JAMNICA-BAP","VODA JANA 0,33 l","0.66","0.79","19.7"
"tommy","JAMNICA PLUS D.O.O.","VODA NEGAZ.0,33 L JANA PET","0.75","0.62","-17.3"
"konzum","RADENSKA","MIN VODA RADENSKA NATURELLE 1.5L","0.85","0.99","16.5"
"konzum","RADENSKA","MIN VODA RADENSKA 1.5L GAZ PET","0.85","0.99","16.5"
"konzum","RADENSKA","MIN VODA RADENSKA 1L GAZ POV AMB","0.75","0.83","10.7"
"jadranka_trgovina","","VODA GAZ.1L MG MIVELA BLAGO GAZIRANA PET","1.55","1.69","9.0"
"jadranka_trgovina","","VODA GAZ.1L MG MIVELA PET","1.55","1.69","9.0"
"konzum","JAMNICA","MIN VODA JAMNICA 1L PB","0.69","0.75","8.7"
"lorenco","","CETINA PRIRODNA VODA NEGAZIRANA 7L","2.01","1.85","-8.0"
"konzum","VIVA","VODA IZVORSKA NEGAZ VIVA 0.5L","0.69","0.73","5.8"
"konzum","VIVA","VODA IZVORSKA NEGAZ VIVA 1.5L","0.85","0.89","4.7"
"konzum","JAMNICA","MIN VODA JAMNICA 0.75L GAZ NB","1.39","1.45","4.3"
"konzum","JANA","VODA MINERAL JANA 0.75L STAKLO","1.39","1.45","4.3"
"konzum","ROMERQUELLE","VODA ROMERQUELLE 0.5L","0.95","0.99","4.2"
"konzum","ROMERQUELLE","MIN VODA ROMERQUELLE 0.5L GAZ PET","0.95","0.99","4.2"
"konzum","JANA","VODA MINERALNA JANA 1.5L","0.95","0.99","4.2"
"konzum","ROMERQUELLE","VODA ROMERQUELLE LIM TRAVA 0.5L","1.15","1.19","3.5"
"plodine","CETINA","VODA CETINA 7 L","1.79","1.85","3.4"
"jadranka_trgovina","","VODA GAZ.0,5L DONAT PET","1.45","1.49","2.8"
"trgovina-krk","","VODA IZVORSKA CETINA 7 l","2.59","2.52","-2.7"
"ntl","SVETI ROK D.O.O.","VODA PRIRODNA IZVORSKA 7L SVETI ROK","2.01","2.05","2.0"
"jadranka_trgovina","","VODA GAZ.1L DONAT PET","2.25","2.29","1.8"
