"chain","brand","name","oldPrice","newPrice","pct"
"plodine","OSHEE","VODA OSHEE MAGNESIUM 0,55 L","0.99","1.69","70.7"
"spar","Sara","VODA SARA MINER.NEG.1,5 L","0.59","0.89","50.8"
"spar","Radenska","VODA RADENSKA CLASSIC P.A. 1 L","0.59","0.85","44.1"
"kaufland","Cetina","Cetina Voda prir.miner.negaz.1,5 l PET","0.65","0.85","30.8"
"kaufland","Cetina Dinara","Cetina Dinara Voda prir.gaz.1,5 l PET","0.65","0.85","30.8"
"ribola","STUDENAC","STUDENAC 1,5 l PET GAZIRANA VODA","0.98","0.69","-29.6"
"ribola","STUDENA","STUDENA 1,5 l NEGAZI RANA VODA","0.98","0.69","-29.6"
"konzum","STUDENA","VODA IZVORSKA STUDENA 1.5L","0.69","0.89","29.0"
"konzum","STUDENAC","MIN VODA STUDENAC 1.5L GAZ PET","0.69","0.89","29.0"
"studenac","AWT-RADENSKA","VODA GAZ. RADENSKA","1.42","1.05","-26.1"
"ribola","SARA","VODA SARA 1,5 l NEGAZIRANA","0.79","0.59","-25.3"
"konzum","SARA","VODA MINERALNA SARA 1.5L","0.79","0.59","-25.3"
"gavranovic","JAMNICA plus d.o.o.","VODA MIVELA GAZIRANA 0,5L","1.59","1.19","-25.2"
"gavranovic","JAMNICA plus d.o.o.","VODA MIVELA MG BLAGO GAZIRANA 0,5L","1.59","1.19","-25.2"
"plodine","DONAT","VODA DONATURAL KADULJA 0,5 L","1.69","1.29","-23.7"
"plodine","DONAT","VODA DONATURAL KLEKA 0,5 L","1.69","1.29","-23.7"
"ntl","JAMNICA PLUS D.O.O.","VODA GAZIRANA PRIRODNA MINERALNA SARAJEVSKI KISELJAK 1,5 L PET","0.79","0.97","22.8"
"kaufland","Studena","Studena izvorska voda negaz. 1,5L PET","0.89","0.69","-22.5"
"kaufland","Studena ili Studenac","Studenac mineralna voda gaz. 1,5L PET","0.89","0.69","-22.5"
"ribola","CETINA","VODA CETINA 15 l NEGAZIRANA","6.12","7.49","22.4"
"gavranovic","JAMNICA plus d.o.o.","VODA MIVELA MG BLAGO GAZIRANA 1L","1.89","1.49","-21.2"
"gavranovic","JAMNICA plus d.o.o.","VODA MIVELA MG GAZIRANA 1L","1.89","1.49","-21.2"
"spar","Sarajevski Kiseljak","MIN.VODA SARAJEV. KISELJ.1,5 L","0.75","0.89","18.7"
"ribola","SARAJEVSKI KISELJAK","SARAJEVSKI KIS.1,5 l GAZIRANA VODA","0.75","0.89","18.7"
"tommy","JAMNICA PLUS D.O.O.","VODA NEGAZ.0,33 L JANA PET","0.75","0.62","-17.3"
"konzum","DONATURAL","VODA DONATURAL ALOE VERA 0.5 L","1.45","1.69","16.6"
"konzum","DONATURAL","VODA DONATURAL KLEKA 0.5 L","1.45","1.69","16.6"
"konzum","DONATURAL","VODA DONATURAL KADULJA 0.5 L","1.45","1.69","16.6"
"ribola","RADENSKA","RADEN. KRA.VRE.1,5 l GAZIRANA VODA","0.85","0.99","16.5"
"konzum","SAR KISELJAK","MIN VODA KISELJAK 1.5L PET","0.89","0.75","-15.7"
"ribola","MIVELA","MIVELA BL.GAZ. 0,5 l GAZIRANA VODA","1.29","1.09","-15.5"
"ribola","MIVELA","MIVELA 0,5 l PET GAZIRANA VODA","1.29","1.09","-15.5"
"branka","","VODA CETINA 7L","1.49","1.69","13.4"
"ntl","JAMNICA PLUS D.O.O.","VODA GAZIRANA MG MIVELA 1 L JAMNICA","1.69","1.49","-11.8"
"ntl","JAMNICA PLUS D.O.O.","VODA BLAGO GAZIRANA MG MIVELA 1 L JAMNICA","1.69","1.49","-11.8"
"bure","","VODA CETINA 7 L","1.75","1.9","8.6"
"ntl","JAMNICA PLUS D.O.O.","VODA BLAGO GAZIRANA MG MIVELA 0,5 L JAMNICA","1.29","1.19","-7.8"
"ntl","JAMNICA PLUS D.O.O.","VODA GAZIRANA MG MIVELA 0,5 L JAMNICA","1.29","1.19","-7.8"
"plodine","JAMNICA","VODA JAMNICA 6 X 1,5 L PROMO","5.29","4.99","-5.7"
"spar","Radenska","MINERALN.VODA RADENSKA 6X1,5 L","4.19","3.99","-4.8"
"spar","","MIN.VODA SARAJ.KISELJAK 4x1,5L","2.69","2.59","-3.7"
"trgovina-krk","","VODA IZVORSKA CETINA 7 l","2.59","2.52","-2.7"
