"chain","brand","name","oldPrice","newPrice","pct"
"stridon","ISKRA","DEMINERAL.VODA 3/1 ISKRA (4)","1.09","1.39","27.5"
"studenac","AWT-RADENSKA","VODA GAZ. RADENSKA","1.42","1.05","-26.1"
"ribola","CETINA","VODA CETINA 15 l NEGAZIRANA","6.12","7.49","22.4"
"boso","MG MIVELA","VODA MG MIVELA 1 L GAZIRANA PET","1.89","1.49","-21.2"
"boso","MG MIVELA","VODA MG MIVELA 1 L BLAGO GAZIR.","1.89","1.49","-21.2"
"dm","Denkmit","Denkmit voda za glačalo 1 l","0.95","0.75","-21.1"
"boso","MG MIVELA","VODA MG MIVELA 500 ml BLAG.GAZ","1.45","1.19","-17.9"
"boso","MG MIVELA","VODA MG MIVELA 500 ml GAZIRANA","1.45","1.19","-17.9"
"tommy","JAMNICA PLUS D.O.O.","VODA NEGAZ.0,33 L JANA PET","0.75","0.62","-17.3"
"gavranovic","AWT INTERNATIONAL d.o.o.","VODA ZALA 0,5l","0.89","0.75","-15.7"
"bure","","VODA CETINA 7 L","1.75","1.9","8.6"
"plodine","RADENSKA","VODA RADENSKA 1 L POVRATNA BOCA","0.79","0.85","7.6"
"trgovina-krk","","VODA IZVORSKA CETINA 7 l","2.59","2.52","-2.7"
