"chain","brand","name","oldPrice","newPrice","pct"
"studenac","JAMNICA-BAP","VODA SARA 1,5 l","0.93","0.59","-36.6"
"tommy","STUDENAC","VODA GAZ.1,5 L STUDENAC PET","0.69","0.89","29.0"
"tommy","STUDENA","VODA NEGAZ.1,5 L STUDENA","0.69","0.89","29.0"
"boso","KISELJAK","VODA SARAJ 1,5 l KISELJAK PET","0.75","0.96","28.0"
"studenac","AWT-RADENSKA","VODA GAZ. RADENSKA","1.42","1.05","-26.1"
"gavranovic","JAMNICA plus d.o.o.","VODA SARAJEVSKI KISELJAK 1,5L GAZIRANA","1.15","0.89","-22.6"
"ribola","CETINA","VODA CETINA 15 l NEGAZIRANA","6.12","7.49","22.4"
"lorenco","","MIN.VODA 1,5L JAMNICA","0.84","0.66","-21.4"
"dm","Denkmit","Denkmit voda za glačalo 1 l","0.95","0.75","-21.1"
"gavranovic","KG ZELINA d.o.o.","DESTILIRANA VODA 1L WOOSH","0.79","0.63","-20.3"
"gavranovic","KG ZELINA d.o.o.","DESTILIRANA VODA 3L WOOSH","1.49","1.19","-20.1"
"gavranovic","KG ZELINA d.o.o.","DESTILIRANA VODA 5L WOOSH","1.99","1.59","-20.1"
"gavranovic","JAMNICA plus d.o.o.","VODA JAMNICA BLAGO GAZIRANA MILD 1,5L","1.05","1.25","19.0"
"tommy","JAMNICA PLUS D.O.O.","VODA NEGAZ.0,33 L JANA PET","0.75","0.62","-17.3"
"boso","STUDENA","VODA STUD. 0,75 L PET","0.85","0.99","16.5"
"studenac","AWT-RADENSKA","VODA RADENSKA NATURELLE 1,5 l","0.85","0.99","16.5"
"tommy","SARAJEVSKI KISELJAK","VODA GAZ.1,5 L SARAJE.KISELJAK","0.89","0.75","-15.7"
"studenac","AWT-STUDENAC","VODA STUDENA 1,5 l","0.77","0.69","-10.4"
"studenac","AWT-STUDENAC","VODA GAZ. STUDENAC 1,5 l","0.77","0.69","-10.4"
"boso","RADENSKA","VODA RADENSKA 1,5 L KRALJ.VRELE","0.89","0.98","10.1"
"lorenco","","CETINA PRIRODNA VODA NEGAZIRANA 7L","1.85","2.01","8.6"
"bure","","VODA CETINA 7 L","1.75","1.9","8.6"
"konzum","SANTA","VODA IZVORSKA SANTA 0.5L PET","0.79","0.75","-5.1"
"konzum","SANTA","VODA GAZIRANA SANTA 1.5L PET","0.97","0.93","-4.1"
"studenac","JAMNICA-BAP","VODA MIVELA GAZIRANA 0,5 l","1.39","1.35","-2.9"
"studenac","JAMNICA-BAP","VODA MIVELA BLAGO GAZIRANA 0,5 l","1.39","1.35","-2.9"
"studenac","AWT-STUDENAC","VODA STUDENA SP. ČEP 0,5l","0.85","0.87","2.4"
"studenac","AWT-STUDENAC","VODA STUDENA 0,5 l","0.87","0.85","-2.3"
"studenac","AWT-RADENSKA","VODA GAZ. RADENSKA 0,5 l","0.89","0.87","-2.2"
"stridon","ROMERQUELLE","ROMERQUELLE NEGAZIRANA VODA 0.33 (20) POV.","0.78","0.79","1.3"
