"chain","brand","name","oldPrice","newPrice","pct"
"ribola","STUDENAC","STUDENAC 1,5 l PET GAZIRANA VODA","0.69","0.98","42.0"
"ribola","STUDENA","STUDENA 1,5 l NEGAZI RANA VODA","0.69","0.98","42.0"
"konzum","SARA","VODA MINERALNA SARA 1.5L","0.59","0.79","33.9"
"ribola","SARA","VODA SARA 1,5 l NEGAZIRANA","0.59","0.79","33.9"
"gavranovic","JAMNICA plus d.o.o.","VODA MIVELA GAZIRANA 0,5L","1.19","1.59","33.6"
"gavranovic","JAMNICA plus d.o.o.","VODA MIVELA MG BLAGO GAZIRANA 0,5L","1.19","1.59","33.6"
"plodine","DONAT","VODA DONATURAL KADULJA 0,5 L","1.29","1.69","31.0"
"plodine","DONAT","VODA DONATURAL KLEKA 0,5 L","1.29","1.69","31.0"
"plodine","DONAT","VODA DONATURAL ALOE VERA 0,5 L","1.29","1.69","31.0"
"kaufland","Studena","Studena izvorska voda negaz. 1,5L PET","0.69","0.89","29.0"
"kaufland","Studena ili Studenac","Studenac mineralna voda gaz. 1,5L PET","0.69","0.89","29.0"
"gavranovic","JAMNICA plus d.o.o.","VODA MIVELA MG GAZIRANA 1L","1.49","1.89","26.8"
"boso","MG MIVELA","VODA MG MIVELA 1 L GAZIRANA PET","1.49","1.89","26.8"
"boso","MG MIVELA","VODA MG MIVELA 1 L BLAGO GAZIR.","1.49","1.89","26.8"
"gavranovic","JAMNICA plus d.o.o.","VODA MIVELA MG BLAGO GAZIRANA 1L","1.49","1.89","26.8"
"djelo_vodice","","MIN.VODA JAMNICA 1L PET","0.79","0.99","25.3"
"djelo_vodice","","VODA SARA 1,5L PET","0.79","0.59","-25.3"
"djelo_vodice","","MIN.VODA SARAJEVSKI KISELJAK 1,5","0.99","0.75","-24.2"
"ribola","CETINA","VODA CETINA 15 l NEGAZIRANA","6.12","7.49","22.4"
"boso","MG MIVELA","VODA MG MIVELA 500 ml BLAG.GAZ","1.19","1.45","21.8"
"boso","MG MIVELA","VODA MG MIVELA 500 ml GAZIRANA","1.19","1.45","21.8"
"lorenco","","MIN.VODA 1,5L JAMNICA","0.84","0.66","-21.4"
"ntl","AWT INTERNATIONAL D.O.O","VODA GAZIRANA RADENSKA KRALJEVI VRELEC 1,5 L","1.08","0.85","-21.3"
"dm","Denkmit","Denkmit voda za glačalo 1 l","0.95","0.75","-21.1"
"zabac","","MG MIVELA PRIRODNA MINERALNA VODA 0,5L","0.49","0.59","20.4"
"konzum","SAR KISELJAK","MIN VODA KISELJAK 1.5L PET","0.75","0.89","18.7"
"ribola","MIVELA","MIVELA BL.GAZ. 0,5 l GAZIRANA VODA","1.09","1.29","18.3"
"ribola","MIVELA","MIVELA 0,5 l PET GAZIRANA VODA","1.09","1.29","18.3"
"ntl","JAMNICA PLUS D.O.O.","VODA NEGAZIRANA JANA JAGODA GUAVA 1,5L PET JAMNICA","1.69","1.39","-17.8"
"ntl","JAMNICA PLUS D.O.O.","VODA NEGAZIRANA JANA LIMUN LIMETA 1,5 L PET JAM.","1.69","1.39","-17.8"
"tommy","JAMNICA PLUS D.O.O.","VODA NEGAZ.0,33 L JANA PET","0.75","0.62","-17.3"
"konzum","RADENSKA","MIN VODA RADENSKA 1.5L GAZ PET","0.99","0.85","-14.1"
"kaufland","Radenska","Radenska Naturelle negaz voda 1,5 l PET","0.99","0.85","-14.1"
"kaufland","Radenska","Radenska miner.voda Kralj. vrel.1,5l PET","0.99","0.85","-14.1"
"konzum","RADENSKA","MIN VODA RADENSKA NATURELLE 1.5L","0.99","0.85","-14.1"
"ntl","JAMNICA PLUS D.O.O.","VODA BLAGO GAZIRANA MG MIVELA 1 L JAMNICA","1.49","1.69","13.4"
"ntl","JAMNICA PLUS D.O.O.","VODA GAZIRANA MG MIVELA 1 L JAMNICA","1.49","1.69","13.4"
"ribola","ZALA","VODA ZALA 1,5 l NEGAZIRANA","0.79","0.69","-12.7"
"plodine","SARAJEVSKI KISELJAK","VODA SARAJEVSKI KISELJAK 1,5 L PET","0.85","0.75","-11.8"
"trgocentar","JAMNICA, ZAGREB","SARA VODA 6L,PET, JAMNICA","2.59","2.29","-11.6"
"ntl","JAMNICA PLUS D.O.O.","VODA NEGAZIRANA SARA 6L PET","1.89","1.69","-10.6"
"spar","Radenska","MIN.VODA RADENSKA 4X1,5L","3.29","2.99","-9.1"
"bure","","VODA CETINA 7 L","1.75","1.9","8.6"
"lorenco","","CETINA PRIRODNA VODA NEGAZIRANA 7L","1.85","2.01","8.6"
"ntl","JAMNICA PLUS D.O.O.","VODA BLAGO GAZIRANA MG MIVELA 0,5 L JAMNICA","1.19","1.29","8.4"
"ntl","JAMNICA PLUS D.O.O.","VODA GAZIRANA MG MIVELA 0,5 L JAMNICA","1.19","1.29","8.4"
"plodine","JAMNICA","VODA JAMNICA 6 X 1,5 L PROMO","4.99","5.29","6.0"
"konzum","SANTA","VODA IZVORSKA SANTA 0.5L PET","0.75","0.79","5.3"
"spar","Radenska","MINERALN.VODA RADENSKA 6X1,5 L","3.99","4.19","5.0"
"konzum","SANTA","VODA GAZIRANA SANTA 1.5L PET","0.93","0.97","4.3"
"spar","","MIN.VODA SARAJ.KISELJAK 4x1,5L","2.59","2.69","3.9"
"spar","Jamnica","MINERALNA VODA JAMNICA 6x1,5 L","5.13","4.99","-2.7"
