"chain","brand","name","oldPrice","newPrice","pct"
"kaufland","Charlie`s Organics","Charlie`s Voda gaz.nar.Bio 330ml vg.LIM","1.25","0.69","-44.8"
"kaufland","Charlie`s Organics","Charlie`s Voda gaz.mal.Bio 330ml vg.LIM","1.19","0.69","-42.0"
"kaufland","Charlie`s Organics","Charlie`s Voda g.crni ri.Bio0,33L vg.LIM","1.19","0.69","-42.0"
"kaufland","Charlie`s Organics","Charlie`s Voda gaz.grej.Bio 330ml vg.LIM","1.19","0.69","-42.0"
"kaufland","Charlie`s Organics","Charlie`s Voda gaz.mar.Bio 330ml vg.LIM","1.19","0.69","-42.0"
"studenac","AWT-RADENSKA","VODA GAZ. RADENSKA","1.42","0.85","-40.1"
"roto","ROMERQUELLE","ROMERQUELLE STILL NEG.VODA POV.A. 0,33 (20)","0.71","0.94","32.4"
"roto","ROMERQUELLE","ROMERQUELLE GAZ.VODA POV.A. 0,33 (20)","0.71","0.93","31.0"
"kaufland","Cetina Dinara","Cetina Dinara Voda prir.gaz.1,5 l PET","0.65","0.85","30.8"
"kaufland","Cetina","Cetina Voda prir.miner.negaz.1,5 l PET","0.65","0.85","30.8"
"jadranka_trgovina","","VODA NEG.1,5L SARA PRIRODNA MINERALNA","0.82","0.59","-28.0"
"roto","ROMERQUELLE","ROMERQUELLE STILL NEG.VODA POV.A. 0,75 (12)","0.99","1.24","25.3"
"jadranka_trgovina","","VODA NEG. 0,5L DONATURAL KLEKA","1.35","1.69","25.2"
"jadranka_trgovina","","VODA NEG. 0,5L DONATURAL ALOE VERA","1.35","1.69","25.2"
"kaufland","Studena","Studena izvorska voda negaz. 1,5L PET","0.89","0.69","-22.5"
"kaufland","Studena ili Studenac","Studenac mineralna voda gaz. 1,5L PET","0.89","0.69","-22.5"
"ribola","CETINA","VODA CETINA 15 l NEGAZIRANA","6.12","7.49","22.4"
"lorenco","","MIN.VODA 1,5L JAMNICA","0.84","0.66","-21.4"
"dm","Denkmit","Denkmit voda za glačalo 1 l","0.95","0.75","-21.1"
"roto","MIVELA","MIVELA MG-VODA blago gazirana PET 1,5 (6)*","2.09","1.71","-18.2"
"konzum","DONATURAL","VODA DONATURAL KADULJA 0.5 L","1.69","1.39","-17.8"
"konzum","DONATURAL","VODA DONATURAL KLEKA 0.5 L","1.69","1.39","-17.8"
"konzum","DONATURAL","VODA DONATURAL ALOE VERA 0.5 L","1.69","1.39","-17.8"
"jadranka_trgovina","","VODA GAZ.1,5L SARAJEVSKI KISELJAK PET","0.96","0.79","-17.7"
"tommy","JAMNICA PLUS D.O.O.","VODA NEGAZ.0,33 L JANA PET","0.75","0.62","-17.3"
"spar","","VODA URSU ALKALNA 0,5 L","1.19","0.99","-16.8"
"spar","","VODA URSU ALKALNA 1,5 L","1.79","1.49","-16.8"
"roto","SMART","SMARTWATER NEG.VODA PET 1,1 (6)*","1.65","1.46","-11.5"
"lorenco","","CETINA PRIRODNA VODA NEGAZIRANA 7L","1.85","2.01","8.6"
"bure","","VODA CETINA 7 L","1.75","1.9","8.6"
"roto","ROMERQUELLE","ROMERQUELLE GAZ.VODA PET 0,5 (24)*","1.04","1.08","3.8"
"roto","ROMERQUELLE","ROMERQUELLE STILL NEG.VODA PET 0,5 (24)*","1.04","1.08","3.8"
"trgovina-krk","","VODA IZVORSKA CETINA 7 l","2.59","2.52","-2.7"
"roto","SMART","SMARTWATER NEG.VODA PET 0,6 (12)*","1.43","1.46","2.1"
