"chain","brand","name","oldPrice","newPrice","pct"
"konzum","MIVELA","MIN VODA MIVELA BLAGO GAZ 1.35L PET","0.5","0.3","-40.0"
"lidl","Saguaro","Mineralna voda 7l","1.49","0.99","-33.6"
"studenac","AWT-RADENSKA","VODA GAZ. RADENSKA","1.42","1.05","-26.1"
"ribola","CETINA","VODA CETINA 15 l NEGAZIRANA","6.12","7.49","22.4"
"lorenco","","MIN.VODA 1,5L JAMNICA","0.84","0.66","-21.4"
"dm","Denkmit","Denkmit voda za glačalo 1 l","0.95","0.75","-21.1"
"tommy","JAMNICA PLUS D.O.O.","VODA NEGAZ.0,33 L JANA PET","0.75","0.62","-17.3"
"lidl","Sportyfeel","Voda s okusom SK3","0.89","0.79","-11.2"
"lorenco","","CETINA PRIRODNA VODA NEGAZIRANA 7L","1.85","2.01","8.6"
"bure","","VODA CETINA 7 L","1.75","1.9","8.6"
"konzum","VIVA","VODA IZVORSKA NEGAZ VIVA 0.5L","0.73","0.79","8.2"
"konzum","VIVA","VODA IZVORSKA NEGAZ VIVA 1.5L","0.89","0.95","6.7"
"konzum","SANTA","VODA GAZIRANA SANTA 1.5L PET","0.93","0.97","4.3"
"trgovina-krk","","VODA IZVORSKA CETINA 7 l","2.59","2.52","-2.7"
"stridon","ROMERQUELLE","ROMERQUELLE NEGAZIRANA VODA 0.33 (20) POV.","0.79","0.78","-1.3"
